Recordings,,,,DayInformation
Ozone,Solar.R,Wind,Temp,Month and Day
41,190,7.4,67,5_1
36,118,8,72,5_2
12,149,12.6,74,5_3
18,313,11.5,62,5_4
NA,NA,14.3,56,5_5
28,NA,14.9,66,5_6
23,299,8.6,65,5_7
19,99,13.8,59,5_8
8,19,20.1,61,5_9
NA,194,8.6,69,5_10
7,NA,6.9,74,5_11
16,256,9.7,69,5_12
11,290,9.2,66,5_13
14,274,10.9,68,5_14
18,65,13.2,58,5_15
14,334,11.5,64,5_16
34,307,12,66,5_17
6,78,18.4,57,5_18
30,322,11.5,68,5_19
11,44,9.7,62,5_20
1,8,9.7,59,5_21
11,320,16.6,73,5_22
4,25,9.7,61,5_23
32,92,12,61,5_24
NA,66,16.6,57,5_25
NA,266,14.9,58,5_26
NA,NA,8,57,5_27
23,13,12,67,5_28
45,252,14.9,81,5_29
115,223,5.7,79,5_30
37,279,7.4,76,5_31
NA,286,8.6,78,6_1
NA,287,9.7,74,6_2
NA,242,16.1,67,6_3
NA,186,9.2,84,6_4
NA,220,8.6,85,6_5
NA,264,14.3,79,6_6
29,127,9.7,82,6_7
NA,273,6.9,87,6_8
71,291,13.8,90,6_9
39,323,11.5,87,6_10
NA,259,10.9,93,6_11
NA,250,9.2,92,6_12
23,148,8,82,6_13
NA,332,13.8,80,6_14
NA,322,11.5,79,6_15
21,191,14.9,77,6_16
37,284,20.7,72,6_17
20,37,9.2,65,6_18
12,120,11.5,73,6_19
13,137,10.3,76,6_20
NA,150,6.3,77,6_21
NA,59,1.7,76,6_22
NA,91,4.6,76,6_23
NA,250,6.3,76,6_24
NA,135,8,75,6_25
NA,127,8,78,6_26
NA,47,10.3,73,6_27
NA,98,11.5,80,6_28
NA,31,14.9,77,6_29
NA,138,8,83,6_30
135,269,4.1,84,7_1
49,248,9.2,85,7_2
32,236,9.2,81,7_3
NA,101,10.9,84,7_4
64,175,4.6,83,7_5
40,314,10.9,83,7_6
77,276,5.1,88,7_7
97,267,6.3,92,7_8
97,272,5.7,92,7_9
85,175,7.4,89,7_10
NA,139,8.6,82,7_11
10,264,14.3,73,7_12
27,175,14.9,81,7_13
NA,291,14.9,91,7_14
7,48,14.3,80,7_15
48,260,6.9,81,7_16
35,274,10.3,82,7_17
61,285,6.3,84,7_18
79,187,5.1,87,7_19
63,220,11.5,85,7_20
16,7,6.9,74,7_21
NA,258,9.7,81,7_22
NA,295,11.5,82,7_23
80,294,8.6,86,7_24
108,223,8,85,7_25
20,81,8.6,82,7_26
52,82,12,86,7_27
82,213,7.4,88,7_28
50,275,7.4,86,7_29
64,253,7.4,83,7_30
59,254,9.2,81,7_31
39,83,6.9,81,8_1
9,24,13.8,81,8_2
16,77,7.4,82,8_3
78,NA,6.9,86,8_4
35,NA,7.4,85,8_5
66,NA,4.6,87,8_6
122,255,4,89,8_7
89,229,10.3,90,8_8
110,207,8,90,8_9
NA,222,8.6,92,8_10
NA,137,11.5,86,8_11
44,192,11.5,86,8_12
28,273,11.5,82,8_13
65,157,9.7,80,8_14
NA,64,11.5,79,8_15
22,71,10.3,77,8_16
59,51,6.3,79,8_17
23,115,7.4,76,8_18
31,244,10.9,78,8_19
44,190,10.3,78,8_20
21,259,15.5,77,8_21
9,36,14.3,72,8_22
NA,255,12.6,75,8_23
45,212,9.7,79,8_24
168,238,3.4,81,8_25
73,215,8,86,8_26
NA,153,5.7,88,8_27
76,203,9.7,97,8_28
118,225,2.3,94,8_29
84,237,6.3,96,8_30
85,188,6.3,94,8_31
96,167,6.9,91,9_1
78,197,5.1,92,9_2
73,183,2.8,93,9_3
91,189,4.6,93,9_4
47,95,7.4,87,9_5
32,92,15.5,84,9_6
20,252,10.9,80,9_7
23,220,10.3,78,9_8
21,230,10.9,75,9_9
24,259,9.7,73,9_10
44,236,14.9,81,9_11
21,259,15.5,76,9_12
28,238,6.3,77,9_13
9,24,10.9,71,9_14
13,112,11.5,71,9_15
46,237,6.9,78,9_16
18,224,13.8,67,9_17
13,27,10.3,76,9_18
24,238,10.3,68,9_19
16,201,8,82,9_20
13,238,12.6,64,9_21
23,14,9.2,71,9_22
36,139,10.3,81,9_23
7,49,10.3,69,9_24
14,20,16.6,63,9_25
30,193,6.9,70,9_26
NA,145,13.2,77,9_27
14,191,14.3,75,9_28
18,131,8,76,9_29
20,223,11.5,68,9_30
